,milage,accident,clean_title,price,horsepower,price_group,fuel_type_diesel,fuel_type_e85 flex fuel,fuel_type_electric,fuel_type_gasoline,fuel_type_hybrid,fuel_type_hydrogen,fuel_type_plug-in hybrid,transmission_category_automatic,transmission_category_manual
230,-0.11580253538236097,True,False,34084.0,-0.11691622170951327,1,False,False,False,True,False,False,False,True,False
231,0.5493193403863503,False,False,15599.0,-1.2531327787543511,1,False,False,False,True,False,False,False,True,False
232,-0.025572236511995545,False,False,31331.0,-0.04116845123985718,1,False,False,False,True,False,False,False,True,False
233,0.8865754344016021,False,True,9900.0,0.720295978218262,2,False,False,False,True,False,False,False,True,False
234,0.14279076135920876,False,True,14500.0,-1.4599441257603194,2,False,False,False,True,False,False,False,True,False
235,-0.41002600889145646,False,False,36800.0,2.115649644764554,2,False,False,False,True,False,False,False,True,False
236,-1.046674034576024,False,False,35999.0,-0.11691622170951327,2,False,False,True,False,False,False,False,True,False
237,0.059148826737036204,True,True,35000.0,-0.15180006337317056,2,False,False,False,True,False,False,False,True,False
239,-1.2420909764433996,False,True,49000.0,-0.44831271751425766,2,False,False,False,False,False,False,True,True,False
240,0.5054347762274106,False,True,10500.0,-0.3698240737710287,2,False,False,False,True,False,False,False,True,False
241,-0.8038132972891906,False,True,17999.0,0.15343355118383084,2,False,False,False,True,False,False,False,True,False
242,0.6066267500969245,False,True,27995.0,0.32785275950211734,1,False,False,False,True,False,False,False,True,False
243,1.7248311924971058,False,True,8750.0,0.09238682827243055,2,False,False,False,True,False,False,False,True,False
244,-0.8984737031540305,False,True,78499.0,-0.06459045921402731,1,False,False,False,True,False,False,False,True,False
245,-0.39277888294288266,True,True,20850.0,-0.11691622170951327,2,False,False,False,True,False,False,False,True,False
246,-0.3968492803950708,False,True,41000.0,0.5022719678204038,1,False,False,False,True,False,False,False,True,False
247,-0.9022601193886242,False,True,53800.0,0.3888994824135176,2,False,False,False,True,False,False,False,True,False
248,2.0359988786560077,True,True,37900.0,0.5545977303158898,1,False,False,False,True,False,False,False,True,False
249,-0.11279233447585907,False,True,63500.0,0.5545977303158898,1,False,False,False,True,False,False,False,True,False
250,-0.33524428825823294,False,True,65000.0,-0.3262192716914571,2,False,False,False,True,False,False,False,True,False
252,0.3087304528402732,False,True,8995.0,-0.4744755987620006,2,False,False,False,True,False,False,False,True,False
253,-1.1372451109075028,False,True,105500.0,0.32785275950211734,2,False,False,False,True,False,False,False,True,False
255,-1.2398948550273352,False,False,75900.0,-0.5714028445274483,2,False,False,False,True,False,False,False,True,False
256,-0.31824327936490765,False,False,23995.0,-1.859114942511598,1,False,False,False,True,False,False,False,True,False
257,3.105661464928699,False,True,29500.0,-0.41342887585060034,1,False,False,False,True,False,False,False,True,False
259,-0.1400923955272789,True,True,15000.0,0.09238682827243055,2,False,False,False,True,False,False,False,True,False
261,-0.8227264463809857,False,False,47498.0,-0.11691622170951327,1,False,False,False,True,False,False,False,True,False
262,-0.9981511105297071,False,False,50998.0,1.4737869581532597,1,False,False,False,True,False,False,False,True,False
263,-1.231205029768943,False,False,42998.0,-1.2531327787543511,2,False,False,False,False,True,False,False,True,False
264,-1.2383045602088059,False,True,94999.0,3.8598417279474195,1,False,False,False,True,False,False,False,True,False
265,-0.04927520214055146,False,True,46995.0,1.1563439990139783,2,False,False,False,True,False,False,False,True,False
266,-0.9696961925267361,False,True,62479.0,0.10110778868834489,2,False,False,False,True,False,False,False,True,False
267,-0.9353723293601451,False,True,47995.0,1.5495347286229162,2,False,False,False,True,False,False,False,True,False
268,-0.5856399938519076,False,True,14900.0,-0.6837786487439445,2,False,False,False,True,False,False,False,True,False
269,-0.9951030454608591,False,False,39998.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
270,-1.011157450295536,False,False,29999.0,-0.8743939264060716,1,False,False,False,False,True,False,False,True,False
271,2.963670856131439,False,True,3900.0,-1.3727345216011761,1,False,False,False,True,False,False,False,False,True
272,0.24845070638554312,False,True,26000.0,0.7377378990500907,2,False,False,False,True,False,False,False,True,False
273,0.2639560808662039,True,True,11000.0,-1.3204087591056903,1,False,False,False,True,False,False,False,False,True
275,1.430172281121032,False,True,22500.0,-0.3698240737710287,1,False,False,False,True,False,False,False,True,False
276,0.3859165477824637,False,True,18688.0,-1.2531327787543511,1,False,False,False,True,False,False,False,True,False
277,0.9275444580599048,False,True,16500.0,0.09238682827243055,2,False,False,False,True,False,False,False,False,True
278,-0.26089800549198766,False,True,27900.0,0.6330863740591187,1,False,False,False,True,False,False,False,True,False
279,-1.0499303525377746,False,True,77500.0,1.1040182365184923,2,False,False,False,False,True,False,False,True,False
280,-0.8978300123941496,False,False,43998.0,-0.4956550740577927,2,False,False,False,True,False,False,False,True,False
281,-0.6712887290784147,False,True,68000.0,-0.9366865008054599,1,True,False,False,False,False,False,False,True,False
282,0.05403716482033485,False,True,19995.0,0.1098287491042592,2,False,False,False,True,False,False,False,True,False
283,-1.1106266047783098,False,True,54000.0,-0.28261446961188547,1,False,False,False,True,False,False,False,True,False
284,1.6762893363696159,True,True,5900.0,-0.45703367793017197,2,False,False,False,True,False,False,False,True,False
286,-0.0067726799072383315,True,True,34250.0,0.3888994824135176,2,False,False,False,True,False,False,False,True,False
288,1.3203662103178175,False,True,12000.0,-0.15180006337317056,2,False,False,False,True,False,False,False,True,False
289,-0.5955604043865428,True,True,32000.0,-0.22156774670048518,1,False,False,False,True,False,False,False,True,False
290,-0.9836680684323865,True,True,24500.0,-1.4861070070080624,1,False,False,False,True,False,False,False,True,False
291,-1.0706420493410014,False,False,96998.0,0.56481371251739,2,False,False,False,True,False,False,False,True,False
292,-0.334032635063163,False,False,26545.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
